"Original File","Publication_Place","CountryCode","752string","752a","752b","752d","752e",7524,"FAST_URI","Geonames_URI","geonames_ID","latitude","longitude"
"LPN Master File","Altenburgae","au","Austria$dAltenburg (Horn),","Austria","no value","Altenburg (Horn),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1313377","http://sws.geonames.org/2782697",2782697,48.64765,15.59295
"Alma Data","Altenburgi","gw","Germany$dAltenburg (Saxony-Anhalt),","Germany","no value","Altenburg (Saxony-Anhalt),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1877476","https://sws.geonames.org/2957767",2957767,51.78333,11.1
"LPN Master File","Altenburgi in Misnia","gw","Germany$dAltenburg (Saxony-Anhalt),","Germany","no value","Altenburg (Saxony-Anhalt),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1877476","https://sws.geonames.org/2957767",2957767,51.78333,11.1
"Alma Data","Altona","gw","Germany$dHamburg-Altona (Hamburg),","Germany","no value","Hamburg-Altona (Hamburg),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1313209","http://sws.geonames.org/2911296",2911296,53.55,9.93333
"LPN Master File","Altonae","gw","Germany$dHamburg-Altona (Hamburg),","Germany","no value","Hamburg-Altona (Hamburg),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1313209","http://sws.geonames.org/2911296",2911296,53.55,9.93333
"LPN Master File","Altonae ad Albim","gw","Germany$dHamburg-Altona (Hamburg),","Germany","no value","Hamburg-Altona (Hamburg),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1313209","http://sws.geonames.org/2911296",2911296,53.55,9.93333
"LPN Master File","Altonauiae","gw","Germany$dHamburg-Altona (Hamburg),","Germany","no value","Hamburg-Altona (Hamburg),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1313209","http://sws.geonames.org/2911296",2911296,53.55,9.93333
"Alma Data","Altorfi","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"LPN Master File","Altorfii","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Altorfii","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Altorfii Nor","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Altorfii Noricor","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"LPN Master File","Altorfii Noricorum","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"LPN Master File","Altorphii","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"LPN Master File","Altorphii Noric","gw","Germany$dAltdorf (Nürnberger Land),","Germany","no value","Altdorf (Nürnberger Land),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1312061","https://sws.geonames.org/2844125",2844125,49.40131,11.33798
"Alma Data","Amatelaedami","ne","Netherlands$dAmsterdam,","Netherlands","no value","Amsterdam,","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204180","http://sws.geonames.org/2759794",2759794,52.37403,4.88969
"Alma Data","Ambergae","be","Germany$dAmberg (Oberpfalz),","Germany","no value","Amberg (Oberpfalz),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1313029","http://sws.geonames.org/2956656",2956656,49.44287,11.86267
"LPN Master File","Ambergae","gw","Germany$dAmberg (Oberpfalz),","Germany","no value","Amberg (Oberpfalz),","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1313029","http://sws.geonames.org/2956656",2956656,49.44287,11.86267
"Alma Data","America","xxu","United States,","United States,","no value","no value","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204155","http://sws.geonames.org/6252001",6252001,39.76,-98.5
"LPN Master File","Americae","xxu","United States,","United States,","no value","no value","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204155","http://sws.geonames.org/6252001",6252001,39.76,-98.5
"Alma Data","Americae New York","xxu","United States,","United States,","no value","no value","publication place.","http://id.loc.gov/vocabulary/relators/pup","http://id.worldcat.org/fast/1204155","http://sws.geonames.org/6252001",6252001,39.76,-98.5
